Date,ACCP.PA,AIRF.PA,AIRP.PA,AIR.PA,ALSO.PA,MT.AS,AKE.PA,AXAF.PA,CHBE.PA,BICP.PA,BNPP.PA,BOLL.PA,BOUY.PA,CARR.PA,CASP.PA,CNPP.PA,CAGR.PA,DANO.PA,DAST.PA,AM.PA,EDEN.PA,EDF.PA,ENGIE.PA,ERMT.PA,ESLX.PA,EUFI.PA,ETL.PA,IMTP.PA,PRTP.PA,KORI.PA,LVMH.PA,OREP.PA,MICP.PA,ORAN.PA,ORP.PA,PERP.PA,PUBP.PA,RENA.PA,SAF.PA,SGOB.PA,SASY.PA,SCHN.PA,SCOR.PA,SOGN.PA,EXHO.PA,SOLB.BR,SOPR.PA,STLA.MI,STM.PA,TEPRF.PA,TFFP.PA,TCFP.PA,TTEF.PA,TRIA.PA,UBIP.PA,VIE.PA,SGEF.PA,VIV.PA,XFAB.PA,VLLP.PA,MWDP.PA,XIL.PA,.CACT,.FCHI
12/06/2018,44.3,6.824,100.0909191,100.48,32.98452412,28.335,102.35,21.9,18.7,80.75,54.66,4.072,39.1,15.5,33.5,18.76847616,12.105,65.43,23.8,168.9,27.01,10.6510654,13.30659072,124.1,119.9,42,17.93,72.1,502.8,26.85965476,295.3,207,112.15,14.715,115.5,144.5,57.86,82.9,102.4,41.315,66.19,74.12,32.15,38,82.48558274,113.6,180.1,13.30735858,21.28,138.2,9.04,109.6,52.32,171.6,96.5,18.55065004,84.08,8.90568835,8.97,76.988088,119.1,62.9,4228.12,5375.77
13/06/2018,44.3,7.112,100.4545555,100.18,32.81500014,28.805,102.9,21.76,18.76,80.4,54.51,4.098,38.7,15.32,33.32,18.60684288,12.035,65.43,24.5,168,26.99,10.8422874,13.19472976,129.3,119.7,41.86,17.6,71.95,505.4,26.91507358,295.5,209.8,110,14.525,114.85,144.85,58.16,83.61,102.7,41.205,66.17,74.54,32.04,37.525,83.65292488,113.7,184,13.84029361,22.22,141.1,9.09,109.45,52.07,173.4,98.5,18.56993346,84,8.97594204,8.95,76.131744,121,62.9,4246.89,5398.11
14/06/2018,44.66,7.25,101.9091011,104.56,32.50016988,29.045,103.9,21.835,18.78,79.9,54.84,4.168,38.87,15.53,34.3,18.79699968,12.05,64.99,24.79,170.4,27.43,11.0430705,13.51572208,126.6,121.15,41.9,17.7,71.4,514.6,26.85965476,302.55,211.1,110.5,14.64,114.9,144.9,59.38,84.83,104.15,41.505,67.33,75.7,32.32,37.46,84.80048156,113.4,187.3,14.12423441,22.64,139.8,9.4,110.7,52.86,170.7,99.74,18.81097621,85.8,9.0503283,8.97,76.186992,125.4,62.9,4274.5,5434.36
15/06/2018,44.3,7.006,100.5909192,103.6,32.36293617,28.005,103.55,21.6,18.32,80.5,54.14,4.222,38.49,15.58,33.78,18.7304448,11.825,64.91,24.94,171,26.82,11.10521765,13.54003968,121.4,121.3,41.34,17.27,70.25,512,26.65645242,301.45,212.3,112.95,14.635,114.3,147.25,59.14,83.88,103.4,40.9,68.68,75.1,32.25,36.915,85.80954002,112.65,184.2,13.48500359,22.46,147.9,9.27,110.8,52.35,164.9,98.06,18.85918476,85.04,8.97180947,9.13,73.61796,124.4,61.7,4219.02,5353.93
18/06/2018,43.8,7.194,99.9091009,101.9,32.2741379,28.14,102.7,21.58,18.28,79.7,53.95,4.162,38.24,15.4,33.55,18.66388992,11.785,64.19,25.13,167.9,27.13,10.7944819,12.888328,120.5,119.4,41.08,17.23,70,508.8,26.73034418,296.7,208.8,111,14.495,114.15,144.4,58.62,82.91,101.8,40.63,68.25,74.2,31.84,36.555,84.1871323,112.2,184.7,12.99575176,22.14,149,9.095,110.95,52.23,164.7,98.56,18.68563398,83.98,8.91395349,9,71.242296,123.6,60.5,4259.27,5405.9
19/06/2018,43.32,7.584,98.31819165,100.34,32.19341219,27.06,101.2,21.495,18.2,79.55,53.75,4.138,38.17,15.225,33.07,18.72093696,11.775,63.96,24.99,167.6,26.6,10.7562375,12.8396928,114.2,119.15,40.64,16.785,69.5,493.7,26.76729006,289.55,207.7,110.4,14.45,113.75,142.6,59.5,81.65,99.54,39.785,67.67,72.8,31.92,36.485,84.3849869,111.25,180.6,13.03069832,21.23,150.2,9.105,109,51.79,165.6,97.2,18.66635056,84.5,8.7610484,8.88,70.30308,124.7,60.3,4272.99,5429.2
20/06/2018,43.58,7.502,98.181828,99.88,31.98352535,27.17,101.4,21.445,18.24,79.4,53.7,4.16,37.82,15.275,33.06,18.52127232,11.695,63.77,25.07,165.9,26.76,10.72277365,12.888328,117.9,119.65,41.52,16.85,68.8,481.4,26.74881712,286.55,209.2,109.1,14.36,113.85,141.55,60.48,80.82,100.05,39.725,68.31,72.2,31.55,36.33,84.4839142,111.75,179.9,13.01031283,21.01,149.5,9.015,108.75,51.25,165.3,98.06,18.69045484,83.96,8.86849522,8.98,69.7506,122.8,59.4,4260.86,5409.43
21/06/2018,42.66,7.534,97.77273705,98.59,31.78171108,26.995,100.55,21.265,18.22,79.5,53.2,4.112,37.48,14.61,33.05,18.3976704,11.635,63.66,24.56,164.9,26.8,11.28687855,12.7910576,116,118.9,42.48,17.105,66.3,480,26.26852068,285.2,207,107.6,14.255,114.95,139.85,60.32,76.62,98.98,38.91,67.71,71.32,31.64,35.94,84.93897978,109.9,177.4,13.41802269,20.5,149.4,9,108.5,50.8,161.2,96.42,18.02035599,82.48,8.78171125,9,69.7506,120.8,58.7,4267.17,5422.54
22/06/2018,42.99,7.704,98.95455535,100.64,31.84629165,27.36,101.95,21.42,18.24,79.8,53.92,4.104,38.1,14.645,33.7,18.53078016,11.76,64.75,24.29,163.8,26.91,11.3394646,12.87373744,113.6,120.3,42.58,17.625,66.4,486,26.34241244,287.4,209.6,108.35,14.495,114.6,141.2,60.64,76.72,99.7,39.26,69.01,71.74,32.03,36.22,86.28439106,110.8,177.7,13.07583763,20.16,150.8,9.015,108.4,52.48,162.4,96.48,17.79377581,83.22,8.90568835,8.91,72.706368,120.9,58.8,4285.03,5447.44
25/06/2018,42.49,7.44,97.0000097,96.86,31.48302596,25.98,100.5,21.16,17.66,79.75,52.87,4.008,37.64,14.505,33.37,18.29308416,11.62,63.34,23.93,161.6,26.64,11.3012202,12.6694696,109.2,118.5,41.74,16.53,65.3,468.7,26.34241244,278.9,205.7,106.95,14.425,114.2,139.5,59.58,74.75,97.08,38.51,69.22,69.7,31.3,35.83,84.54327058,108.45,175.6,13.18795784,19.235,150.8,9.035,106.55,51.67,157.5,92.72,17.53344964,82.16,8.7610484,8.53,69.61248,120.8,57.6,4262.55,5417.07
26/06/2018,41.9,7.1,96.363646,96.48,31.41037283,25.7,100.2,21.03,17.64,79.25,52.74,3.99,37.62,14.305,33.52,18.4452096,11.53,63.05,24.04,162.7,26.5,11.31556185,12.73755888,109.2,118.95,45.14,17,66.7,475.3,26.34241244,281.1,207.2,106.6,14.325,115.35,139.15,59.02,74.57,97.64,38.095,69.17,69.9,31.33,35.8,83.4946412,108.05,175.7,13.10495976,19.6,148.8,9.19,107.5,51.48,155,93.94,17.5912999,82.6,8.7197227,8.58,68.09316,120.5,57.9,4248.02,5398.32
